responden_id,platform,perangkat,koneksi,frekuensi_sebelumnya,sus_1,sus_2,sus_3,sus_4,sus_5,sus_6,sus_7,sus_8,sus_9,sus_10,sus_total,csuq_1,csuq_2,csuq_3,csuq_4,csuq_5,csuq_6,csuq_7,csuq_8,csuq_9,csuq_10,csuq_11,csuq_12,csuq_13,csuq_14,csuq_15,csuq_16,csuq_17,csuq_18,csuq_19,csuq_sysuse,csuq_infoqual,csuq_interqual,csuq_total
W001,web,laptop,cepat,12,4,2,4,2,4,2,4,2,4,2,72.5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.13,5.00,5.00,5.05
W002,web,laptop,cepat,14,5,1,5,1,5,1,5,1,5,1,90.0,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.13,6.00,6.00,6.05
W003,web,desktop,sedang,8,4,2,4,2,4,2,4,2,4,2,72.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00
W004,web,laptop,sedang,6,4,2,3,2,4,2,4,2,3,2,67.5,4,5,5,5,4,4,5,5,4,4,5,4,4,4,4,5,5,5,5,4.63,4.14,5.00,4.63
W005,web,laptop,lambat,4,3,3,3,3,3,3,3,3,3,3,50.0,3,4,4,3,3,3,4,4,3,3,4,3,3,3,3,4,4,3,3,3.50,3.14,3.67,3.42
W006,web,desktop,sedang,7,4,2,4,2,4,2,5,1,4,2,75.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00
W007,web,laptop,cepat,10,4,2,4,1,5,2,4,2,4,2,75.0,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5.25,5.00,5.33,5.16
W008,web,laptop,cepat,15,5,1,5,1,5,1,5,1,5,1,90.0,6,7,7,7,6,6,6,6,6,7,7,7,6,6,6,7,7,6,6,6.25,6.43,6.67,6.37
W009,web,desktop,sedang,5,4,2,4,2,4,2,4,2,4,2,72.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00
W010,web,laptop,lambat,3,3,3,4,2,3,3,4,3,3,3,55.0,3,4,4,4,3,3,4,4,3,3,4,3,3,3,3,4,4,4,4,3.63,3.14,4.00,3.63
W011,web,laptop,sedang,9,4,2,4,2,4,2,4,2,4,2,72.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00
W012,web,desktop,cepat,11,5,1,5,2,5,1,5,1,5,2,85.0,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,6,6,6,5.88,5.86,6.00,5.89
W013,web,laptop,sedang,7,4,2,4,2,4,2,4,2,4,2,72.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00
W014,web,laptop,cepat,13,5,1,5,1,4,2,5,1,5,1,87.5,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6.13,6.00,6.33,6.16
W015,web,desktop,sedang,6,4,2,4,2,4,2,4,2,4,2,72.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00
W016,web,laptop,lambat,4,3,3,3,3,4,2,4,3,3,3,57.5,4,4,4,4,4,3,4,4,3,3,4,3,3,3,3,4,4,4,4,3.75,3.14,4.00,3.68
W017,web,laptop,sedang,9,4,2,4,2,5,1,4,2,4,2,75.0,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.13,5.00,5.00,5.05
W018,web,desktop,cepat,10,5,2,4,2,4,2,4,2,4,2,72.5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.13,5.00,5.00,5.05
W019,web,laptop,sedang,8,4,2,4,2,4,2,4,2,4,2,72.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00
W020,web,laptop,cepat,12,5,1,5,1,5,1,5,1,5,1,90.0,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6.13,6.00,6.33,6.16
W021,web,desktop,sedang,7,4,2,4,2,4,2,4,2,4,2,72.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00
W022,web,laptop,lambat,3,3,3,3,3,3,3,3,3,3,3,50.0,3,3,4,3,3,3,4,4,3,3,4,3,3,3,3,4,4,3,3,3.38,3.14,3.67,3.37
W023,web,laptop,sedang,8,4,2,4,2,4,2,4,2,4,2,72.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00
W024,web,desktop,cepat,11,5,2,5,1,5,1,5,2,5,1,85.0,6,6,6,6,5,5,6,6,6,5,5,5,5,5,5,6,6,5,5,5.75,5.00,5.67,5.47
W025,web,laptop,sedang,9,4,2,4,2,4,2,4,2,4,2,72.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00
W026,web,laptop,cepat,14,5,1,5,1,5,1,5,1,5,1,90.0,6,7,7,6,6,6,7,6,6,6,6,6,6,6,6,7,7,6,6,6.25,6.00,6.67,6.26
W027,web,desktop,sedang,6,4,2,4,2,4,2,4,2,4,2,72.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00
W028,web,laptop,sedang,8,4,2,4,2,4,2,4,2,4,2,72.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00
W029,web,laptop,cepat,11,5,1,4,2,5,1,5,1,4,2,80.0,6,6,6,5,5,6,6,5,5,5,6,5,5,5,5,6,5,5,5,5.63,5.14,5.33,5.37
W030,web,desktop,sedang,7,4,2,4,2,4,2,4,2,4,2,72.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00
W031,web,laptop,lambat,5,3,3,4,2,3,3,4,3,4,3,57.5,4,4,4,4,3,3,4,4,3,3,4,3,3,3,4,4,4,4,4,3.75,3.29,4.00,3.68
W032,web,laptop,cepat,13,4,2,5,1,5,2,5,1,5,1,82.5,6,6,6,6,6,6,6,5,5,5,6,5,5,5,5,6,6,5,5,5.88,5.14,5.67,5.53
